ChunkNo,Server,Latency,Bitrate,Timestamp
0,0,1.21750593185,0,1406243240.66
1,1,0.68794798851,0,1406243241.37
2,1,0.0222699642181,0,1406243241.41
3,1,0.0231649875641,1,1406243241.46
4,1,0.0264630317688,1,1406243241.51
5,1,0.0164330005646,1,1406243241.54
6,1,0.0168731212616,1,1406243241.56
7,1,0.0168271064758,1,1406243241.59
8,1,0.0167698860168,1,1406243241.62
9,1,0.0178470611572,1,1406243241.65
10,0,0.0154211521149,0,1406243241.68
11,1,0.0155320167542,0,1406243241.7
12,0,0.0173349380493,1,1406243241.73
13,0,0.017618894577,1,1406243241.76
14,0,0.0174551010132,1,1406243241.79
15,0,0.0181140899658,1,1406243241.82
16,0,0.0176210403442,1,1406243241.85
17,0,0.0178339481354,1,1406243241.88
18,0,0.0185708999634,1,1406243241.91
19,0,0.0170378684998,1,1406243241.94
20,0,0.017970085144,0,1406243241.99
21,1,0.0168521404266,0,1406243242.02
22,1,0.0189681053162,1,1406243242.05
23,1,0.0195169448853,1,1406243242.08
24,1,0.0213239192963,1,1406243242.11
25,1,0.0297791957855,1,1406243242.15
26,1,0.0296759605408,1,1406243242.2
27,1,0.0306570529938,1,1406243242.25
28,1,0.0303790569305,1,1406243242.31
29,1,0.0297758579254,1,1406243242.36
30,0,0.0243148803711,0,1406243242.4
31,1,0.0172519683838,0,1406243242.43
32,1,0.0185310840607,1,1406243242.46
33,1,0.0187530517578,1,1406243242.49
34,1,0.0190000534058,1,1406243242.52
35,1,0.0187029838562,1,1406243242.56
36,1,0.0183801651001,1,1406243242.59
37,1,0.0181620121002,1,1406243242.62
38,1,0.0188548564911,1,1406243242.65
39,1,0.0187451839447,1,1406243242.68
40,0,0.0175511837006,0,1406243242.71
41,1,0.0178809165955,0,1406243242.74
42,0,0.0191738605499,1,1406243242.77
43,0,0.0183899402618,1,1406243242.8
44,0,0.0191881656647,1,1406243242.86
45,0,0.0186729431152,1,1406243242.89
46,0,0.0185430049896,1,1406243242.93
47,0,0.0203149318695,1,1406243242.96
48,0,0.0186331272125,1,1406243242.99
49,0,0.0330889225006,1,1406243243.09
50,0,0.0278730392456,0,1406243243.14
51,1,0.0283100605011,0,1406243243.19
52,0,0.0299689769745,1,1406243243.24
53,0,0.0226299762726,1,1406243243.28
54,0,0.0188689231873,1,1406243243.31
55,0,0.0194170475006,1,1406243243.35
56,0,0.017557144165,1,1406243243.37
57,0,0.0187871456146,1,1406243243.41
58,0,0.0178759098053,1,1406243243.43
59,0,0.0177690982819,1,1406243243.46
60,0,0.0179550647736,0,1406243243.49
61,1,0.0176200866699,0,1406243243.52
62,1,0.0183789730072,1,1406243243.55
63,1,0.0186681747437,1,1406243243.58
64,1,0.0175180435181,1,1406243243.61
65,1,0.0174829959869,1,1406243243.64
66,1,0.0193219184875,1,1406243243.68
67,1,0.020388841629,1,1406243243.71
68,1,0.0196409225464,1,1406243243.74
69,1,0.0206098556519,1,1406243243.8
70,0,0.0158619880676,0,1406243243.83
71,1,0.017373085022,0,1406243243.86
72,0,0.0181000232697,1,1406243243.89
73,0,0.0188779830933,1,1406243243.92
74,0,0.0197551250458,1,1406243243.95
75,0,0.0195419788361,1,1406243243.98
76,0,0.0193030834198,1,1406243244.01
77,0,0.0193889141083,1,1406243244.04
78,0,0.018226146698,1,1406243244.07
79,0,0.0185940265656,1,1406243244.11
80,0,0.0173139572144,0,1406243244.13
81,1,0.0181188583374,0,1406243244.16
82,0,0.0198559761047,1,1406243244.19
83,0,0.0181040763855,1,1406243244.22
84,0,0.0186250209808,1,1406243244.25
85,0,0.0187509059906,1,1406243244.28
86,0,0.0196149349213,1,1406243244.32
87,0,0.018630027771,1,1406243244.35
88,0,0.0188820362091,1,1406243244.38
89,0,0.0187058448792,1,1406243244.41
90,0,0.0180299282074,0,1406243244.44
91,1,0.0184419155121,0,1406243244.47
92,0,0.0199580192566,1,1406243244.5
93,0,0.019446849823,1,1406243244.56
94,0,0.0173690319061,0,1406243244.59
95,1,0.0175659656525,0,1406243244.62
96,0,0.0196290016174,1,1406243244.65
97,0,0.0200290679932,1,1406243244.68
98,0,0.0215599536896,1,1406243244.72
99,0,0.0301420688629,1,1406243244.77
100,0,0.0315451622009,1,1406243244.82
101,0,0.0311920642853,1,1406243244.88
102,0,0.0309631824493,1,1406243244.93
103,0,0.0304770469666,1,1406243244.98
104,0,0.0286798477173,0,1406243245.03
105,1,0.027774810791,0,1406243245.08
106,1,0.0306100845337,1,1406243245.13
107,1,0.0293378829956,1,1406243245.18
108,1,0.0295510292053,1,1406243245.23
109,1,0.0283439159393,1,1406243245.28
110,1,0.0214340686798,1,1406243245.31
111,1,0.0200319290161,1,1406243245.34
112,1,0.0197432041168,1,1406243245.37
113,1,0.0198049545288,1,1406243245.41
114,0,0.018031835556,0,1406243245.43
115,1,0.0205888748169,0,1406243245.47
116,0,0.0208959579468,1,1406243245.5
117,0,0.022598028183,1,1406243245.57
118,0,0.0203058719635,1,1406243245.6
119,0,0.0195119380951,1,1406243245.63
120,0,0.0248498916626,1,1406243245.84
121,0,0.0360538959503,1,1406243245.9
122,0,0.0315549373627,1,1406243245.95
123,0,0.0306980609894,1,1406243246.0
124,0,0.0186309814453,0,1406243246.04
125,1,0.0174560546875,0,1406243246.07
126,1,0.0193638801575,1,1406243246.1
127,1,0.0185859203339,1,1406243246.13
128,1,0.026261806488,1,1406243246.17
129,1,0.0256881713867,1,1406243246.21
130,1,0.025771856308,1,1406243246.26
131,1,0.0182840824127,1,1406243246.29
132,1,0.0186359882355,1,1406243246.32
133,1,0.0185489654541,1,1406243246.35
134,0,0.0169949531555,0,1406243246.38
135,1,0.0163979530334,0,1406243246.41
136,1,0.0179369449615,1,1406243246.44
137,1,0.0184509754181,1,1406243246.47
138,1,0.0173490047455,1,1406243246.5
139,1,0.0182619094849,1,1406243246.53
140,1,0.0169548988342,1,1406243246.56
141,1,0.0190069675446,1,1406243246.63
142,1,0.01744389534,1,1406243246.65
143,1,0.0179309844971,1,1406243246.68
144,0,0.0166580677032,0,1406243246.71
145,1,0.0161089897156,0,1406243246.74
146,1,0.0180470943451,1,1406243246.77
147,1,0.017345905304,1,1406243246.8
148,1,0.0174009799957,1,1406243246.83
149,1,0.0168459415436,1,1406243246.86
150,1,0.0174331665039,1,1406243246.89
151,1,0.0180449485779,1,1406243246.92
152,1,0.0223519802094,1,1406243246.95
153,1,0.0214250087738,1,1406243246.98
154,0,0.0172839164734,0,1406243247.02
155,1,0.016135931015,0,1406243247.04
156,1,0.018826007843,1,1406243247.07
157,1,0.019189119339,1,1406243247.1
158,1,0.0222690105438,1,1406243247.14
159,1,0.0188012123108,1,1406243247.7
160,1,0.0315098762512,1,1406243247.75
161,1,0.031172990799,1,1406243247.81
162,1,0.0294258594513,1,1406243247.86
163,1,0.0256462097168,1,1406243247.91
164,0,0.0289089679718,0,1406243247.95
165,1,0.0168771743774,0,1406243247.98
166,1,0.0210390090942,1,1406243248.04
167,1,0.0192379951477,1,1406243248.07
168,1,0.0189790725708,1,1406243248.1
169,1,0.0192220211029,1,1406243248.13
170,1,0.0193810462952,1,1406243248.17
171,1,0.019593000412,1,1406243248.2
172,1,0.0191721916199,1,1406243248.23
173,1,0.0193750858307,1,1406243248.26
174,0,0.0179851055145,0,1406243248.29
175,1,0.0285489559174,0,1406243248.34
176,0,0.0287399291992,1,1406243248.39
177,0,0.0288789272308,1,1406243248.44
178,0,0.0284519195557,1,1406243248.48
179,0,0.0263140201569,1,1406243248.53
180,0,0.0216209888458,1,1406243248.56
181,0,0.019867181778,1,1406243248.59
182,0,0.0193011760712,1,1406243248.62
